Fuel_Type,Body_Type,Transmission,KM_Driven,Model_Year,Price,Engine,Brand,Model,Registration_Year,City
Petrol,Hatchback,Manual,120000,2015,4.0,998.0,Maruti,Maruti Celerio,2015,bangalore
Petrol,SUV,Manual,32706,2018,8.11,1497.0,Ford,Ford Ecosport,2018,bangalore
Petrol,Hatchback,Manual,11949,2018,5.85,1199.0,Tata,Tata Tiago,2018,bangalore
Petrol,Sedan,Manual,17794,2014,4.62,1197.0,Hyundai,Hyundai Xcent,2014,bangalore
Diesel,SUV,Manual,60000,2015,7.9,1248.0,Maruti,Maruti SX4 S Cross,2015,bangalore
Diesel,SUV,Manual,20000,2020,19.0,1956.0,Jeep,Jeep Compass,2020,bangalore
Petrol,Hatchback,Manual,37772,2017,3.45,1198.0,Datsun,Datsun GO,2017,bangalore
Petrol,SUV,Automatic,30000,2021,12.0,998.0,Hyundai,Hyundai Venue,2021,bangalore
Petrol,Sedan,Automatic,37000,2018,9.6,1462.0,Maruti,Maruti Ciaz,2018,bangalore
Petrol,Hatchback,Manual,11949,2017,5.85,1199.0,Tata,Tata Tiago,2018,bangalore
Petrol,Hatchback,Manual,50000,2018,6.9,1197.0,Maruti,Maruti Baleno,2018,bangalore
Petrol,Hatchback,Automatic,24887,2019,6.82,1197.0,Hyundai,Hyundai Grand i10,2019,bangalore
Petrol,Hatchback,Automatic,23000,2018,8.25,1199.0,Honda,Honda Jazz,2018,bangalore
Petrol,Hatchback,Automatic,48928,2018,5.95,1199.0,Tata,Tata Tiago,2018,bangalore
Diesel,SUV,Manual,108862,2014,6.9,2179.0,Mahindra,Mahindra XUV500,2014,bangalore
Diesel,SUV,Manual,80000,2018,13.5,1956.0,Jeep,Jeep Compass,2018,bangalore
Diesel,SUV,Automatic,16000,2022,55.95,1950.0,Mercedes-Benz,Mercedes-Benz GLA,2022,bangalore
Diesel,Hatchback,Manual,65376,2014,5.21,1396.0,Hyundai,Hyundai i20,2014,bangalore
Petrol,SUV,Manual,10000,2022,10.05,1199.0,Tata,Tata Nexon,2022,bangalore
Petrol,Sedan,Manual,67000,2016,7.75,1497.0,Honda,Honda City,2016,bangalore
Diesel,Sedan,Automatic,100000,2011,22.0,1995.0,BMW,BMW 5 Series,2011,bangalore
Petrol,Hatchback,Manual,18083,2016,5.82,1197.0,Maruti,Maruti Swift,2016,bangalore
Petrol,SUV,Manual,30000,2020,10.9,1498.0,Renault,Renault Duster,2020,bangalore
Petrol,Hatchback,Manual,57634,2016,4.57,1199.0,Tata,Tata Tiago,2016,bangalore
Petrol,Sedan,Automatic,50000,2016,49.0,4663.0,Mercedes-Benz,Mercedes-Benz S-Class,2016,bangalore
Petrol,Sedan,Manual,110000,2015,5.5,1497.0,Honda,Honda City,2015,bangalore
Petrol,Hatchback,Automatic,23447,2018,5.7,1086.0,Hyundai,Hyundai Santro,2018,bangalore
Lpg,Hatchback,Manual,30000,2009,2.2,1086.0,Hyundai,Hyundai Santro Xing,2009,bangalore
Petrol,Sedan,Automatic,33000,2017,41.45,1991.0,Mercedes-Benz,Mercedes-Benz E-Class,2017,bangalore
Diesel,SUV,Manual,87667,2014,8.61,2179.0,Mahindra,Mahindra XUV500,2014,bangalore
Diesel,Sedan,Automatic,40000,2016,17.85,1968.0,Audi,Audi A4,2016,bangalore
Diesel,SUV,Manual,79012,2014,8.03,2179.0,Mahindra,Mahindra XUV500,2014,bangalore
Diesel,SUV,Manual,31344,2021,25.65,1956.0,Jeep,Jeep Compass,2021,bangalore
Petrol,Sedan,Manual,50000,2018,6.74,1197.0,Hyundai,Hyundai Xcent,2018,bangalore
Petrol,Hatchback,Manual,12434,2015,3.49,998.0,Maruti,Maruti Wagon R,2015,bangalore
Petrol,MUV,Manual,60000,2019,10.5,1462.0,Maruti,Maruti Ertiga,2019,bangalore
Diesel,Sedan,Automatic,12000,2019,44.25,1950.0,Mercedes-Benz,Mercedes-Benz C-Class,2019,bangalore
Petrol,Hatchback,Manual,40987,2015,4.06,998.0,Maruti,Maruti Wagon R,2015,bangalore
Petrol,Sedan,Automatic,18157,2020,49.65,1998.0,BMW,BMW 5 Series,2020,bangalore
Diesel,SUV,Manual,120000,2011,11.0,2982.0,Toyota,Toyota Fortuner,2011,bangalore
Diesel,SUV,Automatic,40000,2020,11.0,1461.0,Renault,Renault Duster,2020,bangalore
Petrol,Hatchback,Manual,89667,2016,5.94,1197.0,Hyundai,Hyundai i20,2016,bangalore
Diesel,Hatchback,Manual,120000,2017,7.1,1396.0,Hyundai,Hyundai i20,2017,bangalore
Petrol,Hatchback,Manual,56997,2017,6.92,1197.0,Maruti,Maruti Baleno,2017,bangalore
Petrol,Sedan,Manual,120000,2013,6.5,1797.0,Hyundai,Hyundai Elantra,2013,bangalore
Diesel,Sedan,Automatic,59000,2015,20.9,1968.0,Audi,Audi A6,2016,bangalore
Petrol,Hatchback,Manual,18835,2021,4.11,796.0,Maruti,Maruti Alto 800,2021,bangalore
Diesel,SUV,Manual,120000,2010,6.5,2179.0,Mahindra,Mahindra Scorpio,2010,bangalore
Petrol,Hatchback,Automatic,40000,2016,36.75,1998.0,Mini,Mini 3 DOOR,2016,bangalore
Petrol,Hatchback,Manual,60932,2019,6.1,1199.0,Tata,Tata Tiago,2019,bangalore
Petrol,SUV,Automatic,33539,2020,16.75,1353.0,Kia,Kia Seltos,2020,bangalore
Petrol,Hatchback,Manual,66837,2018,5.3,1199.0,Tata,Tata Tiago,2018,bangalore
Diesel,Sedan,Automatic,400,2022,79.9,2925.0,Mercedes-Benz,Mercedes-Benz E-Class,2022,bangalore
Petrol,Hatchback,Manual,60000,2008,2.5,796.0,Maruti,Maruti Alto,2008,bangalore
Petrol,Hatchback,Manual,44285,2019,7.15,1197.0,Hyundai,Hyundai i20,2019,bangalore
Diesel,SUV,Automatic,100000,2014,35.0,2987.0,Mercedes-Benz,Mercedes-Benz GL-Class,2014,bangalore
Diesel,SUV,Automatic,25000,2021,22.5,1956.0,Tata,Tata New Safari,2021,bangalore
Petrol,Hatchback,Manual,36735,2018,6.25,1197.0,Hyundai,Hyundai Grand i10,2019,bangalore
Diesel,SUV,Automatic,79000,2015,26.95,2967.0,Audi,Audi Q7,2015,bangalore
Petrol,Hatchback,Automatic,10000,2022,5.5,999.0,Renault,Renault KWID,2022,bangalore
Diesel,SUV,Manual,53645,2018,8.25,1497.0,Tata,Tata Nexon,2018,bangalore
Petrol,Hatchback,Manual,100000,2006,2.2,1341.0,Hyundai,Hyundai Getz,2006,bangalore
Petrol,Hatchback,Automatic,53982,2014,4.28,998.0,Maruti,Maruti Celerio,2014,bangalore
Diesel,Sedan,Manual,110000,2014,6.95,1498.0,Skoda,Skoda Rapid,2014,bangalore
Petrol,SUV,Manual,37741,2019,9.3,1496.0,Ford,Ford Ecosport,2019,bangalore
Petrol,Hatchback,Manual,17367,2021,4.55,796.0,Maruti,Maruti Alto 800,2021,bangalore
Diesel,SUV,Manual,94000,2017,11.95,1582.0,Hyundai,Hyundai Creta,2017,bangalore
Diesel,SUV,Automatic,33700,2021,21.75,1956.0,Tata,Tata Harrier,2021,bangalore
Petrol,Hatchback,Manual,54601,2014,4.42,1197.0,Maruti,Maruti Swift,2014,bangalore
Diesel,Hatchback,Manual,110000,2018,6.9,1248.0,Maruti,Maruti Swift,2018,bangalore
Petrol,Hatchback,Manual,64000,2017,5.0,998.0,Maruti,Maruti Celerio,2017,bangalore
Diesel,Sedan,Automatic,40525,2016,33.95,1995.0,BMW,BMW 3 Series GT,2016,bangalore
